num,fundCode,fundName,fundLink,trendLink,baLink,netValue,netDate,m1,m3,m6,y1,y2,y3,thisyear,setup,discount,ratefee,buy,buyLink,dtLink
85,008342,九泰科鑫策略精选混合,https://jingzhifunds.hexun.com/008342.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008342,"https://jijinba.hexun.com/008342,jijinba.html",1.1412,01-26,14.12%,14.12%,14.12%,14.12%,--,--,14.12%,14.12%,--,--,0,,
86,003104,泰达宏利定宏混合,https://jingzhifunds.hexun.com/003104.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003104,"https://jijinba.hexun.com/003104,jijinba.html",1.1820,07-13,9.85%,14.09%,10.36%,18.03%,31.27%,26.50%,10.78%,28.78%,--,--,0,,
87,510430,银华上证50ETF,https://jingzhifunds.hexun.com/510430.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=510430,"https://jijinba.hexun.com/510430,jijinba.html",1.7460,09-23,-1.69%,13.97%,28.01%,17.89%,27.82%,13.82%,9.40%,74.60%,--,--,0,,
88,008343,九泰科鑫策略精选混合,https://jingzhifunds.hexun.com/008343.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008343,"https://jijinba.hexun.com/008343,jijinba.html",1.1375,01-26,13.75%,13.75%,13.75%,13.75%,--,--,13.75%,13.75%,--,--,0,,
89,006726,农银稳进多因子股票,https://jingzhifunds.hexun.com/006726.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006726,"https://jijinba.hexun.com/006726,jijinba.html",1.2190,06-30,7.32%,13.73%,6.95%,19.52%,--,--,6.52%,21.90%,--,--,0,,
90,005851,财通新视野混合A,https://jingzhifunds.hexun.com/005851.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005851,"https://jijinba.hexun.com/005851,jijinba.html",1.8094,01-26,0.12%,13.68%,9.68%,1.51%,36.48%,88.18%,-1.03%,80.94%,--,--,0,,
91,005959,财通新视野混合C,https://jingzhifunds.hexun.com/005959.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005959,"https://jijinba.hexun.com/005959,jijinba.html",1.7580,01-26,0.05%,13.46%,9.24%,0.70%,34.30%,83.72%,-1.09%,75.80%,--,--,0,,
92,003249,建信恒丰纯债债券,https://jingzhifunds.hexun.com/003249.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003249,"https://jijinba.hexun.com/003249,jijinba.html",1.1492,08-03,0.48%,13.39%,14.15%,--,--,--,14.50%,14.91%,--,--,0,,
93,003833,金鹰添富纯债债券,https://jingzhifunds.hexun.com/003833.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003833,"https://jijinba.hexun.com/003833,jijinba.html",1.1447,10-09,12.14%,13.37%,14.50%,16.37%,20.73%,--,15.37%,23.84%,--,--,0,,
94,005565,创金合信国证2000,https://jingzhifunds.hexun.com/005565.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005565,"https://jijinba.hexun.com/005565,jijinba.html",1.0776,07-01,4.73%,13.31%,12.17%,11.50%,16.40%,--,12.17%,7.76%,--,--,0,,
95,180033,银华上证50ETF联,https://jingzhifunds.hexun.com/180033.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=180033,"https://jijinba.hexun.com/180033,jijinba.html",1.4640,09-23,-1.55%,13.31%,26.10%,17.22%,26.32%,12.19%,9.25%,46.40%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=180033&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=180033&knownChannel=hexun_jjjz_dinggou
96,090019,大成景恒混合,https://jingzhifunds.hexun.com/090019.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=090019,"https://jijinba.hexun.com/090019,jijinba.html",2.0930,01-26,0.67%,13.26%,18.58%,34.08%,55.27%,102.61%,-3.06%,180.19%,5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=090019&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=090019&knownChannel=hexun_jjjz_dinggou
97,004645,民生加银鑫丰债券C,https://jingzhifunds.hexun.com/004645.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004645,"https://jijinba.hexun.com/004645,jijinba.html",1.1357,12-28,12.28%,13.25%,--,--,--,--,--,13.54%,--,--,0,,
98,005566,创金合信国证2000,https://jingzhifunds.hexun.com/005566.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005566,"https://jijinba.hexun.com/005566,jijinba.html",1.0737,07-01,4.71%,13.25%,12.05%,11.26%,16.10%,--,12.05%,7.37%,--,--,0,,
99,501015,财通多策略升级混合,https://jingzhifunds.hexun.com/501015.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=501015,"https://jijinba.hexun.com/501015,jijinba.html",1.1040,01-26,-0.54%,13.23%,11.74%,-4.66%,19.61%,45.45%,-1.78%,10.40%,4折,0.60%,2,,
100,004741,农银汇理区间混合,https://jingzhifunds.hexun.com/004741.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004741,"https://jijinba.hexun.com/004741,jijinba.html",1.5023,12-31,7.84%,13.16%,17.70%,41.21%,71.59%,41.75%,41.21%,50.20%,--,--,0,,
101,004538,民生加银鑫成纯债C,https://jingzhifunds.hexun.com/004538.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004538,"https://jijinba.hexun.com/004538,jijinba.html",1.6512,12-05,6.14%,13.10%,--,--,--,--,--,65.10%,--,--,0,,
102,004445,鹏华丰嘉债券,https://jingzhifunds.hexun.com/004445.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004445,"https://jijinba.hexun.com/004445,jijinba.html",1.2012,12-15,8.36%,12.99%,19.01%,--,--,--,--,20.07%,--,--,0,,
103,005339,兴业中证国有企业指数,https://jingzhifunds.hexun.com/005339.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005339,"https://jijinba.hexun.com/005339,jijinba.html",1.4049,09-25,-1.16%,12.91%,21.31%,24.68%,38.54%,--,14.76%,40.49%,--,--,0,,
104,002242,国投瑞银瑞兴保本混合,https://jingzhifunds.hexun.com/002242.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002242,"https://jijinba.hexun.com/002242,jijinba.html",0.9626,04-16,1.15%,12.74%,13.02%,-1.70%,-7.00%,-4.31%,14.55%,-3.74%,--,--,0,,
105,005567,创金合信MSCI指数,https://jingzhifunds.hexun.com/005567.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005567,"https://jijinba.hexun.com/005567,jijinba.html",1.5828,02-22,-0.30%,12.64%,16.21%,39.32%,74.05%,57.90%,6.06%,58.28%,--,--,0,,
106,005568,创金合信MSCI指数,https://jingzhifunds.hexun.com/005568.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005568,"https://jijinba.hexun.com/005568,jijinba.html",1.5721,02-22,-0.32%,12.58%,16.09%,39.03%,73.31%,56.83%,6.03%,57.21%,--,--,0,,
107,671010,西部利得策略优选混合,https://jingzhifunds.hexun.com/671010.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=671010,"https://jijinba.hexun.com/671010,jijinba.html",1.4580,01-26,1.25%,12.41%,22.21%,8.48%,50.31%,88.37%,-0.34%,45.80%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=671010&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=671010&knownChannel=hexun_jjjz_dinggou
108,003941,国泰鑫益混合A,https://jingzhifunds.hexun.com/003941.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003941,"https://jijinba.hexun.com/003941,jijinba.html",1.2094,05-16,0.19%,12.17%,12.67%,18.97%,--,--,12.26%,20.94%,--,--,0,,
109,512340,南方中证500原材料,https://jingzhifunds.hexun.com/512340.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=512340,"https://jijinba.hexun.com/512340,jijinba.html",0.9941,01-14,6.55%,12.11%,11.91%,25.12%,50.28%,0.34%,3.19%,-0.59%,--,--,0,,
110,003707,民生加银鑫兴纯债C,https://jingzhifunds.hexun.com/003707.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003707,"https://jijinba.hexun.com/003707,jijinba.html",1.3020,12-06,3.25%,12.01%,--,--,--,--,--,30.20%,--,--,0,,
111,003942,国泰鑫益混合C,https://jingzhifunds.hexun.com/003942.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003942,"https://jijinba.hexun.com/003942,jijinba.html",1.2039,05-16,0.20%,11.84%,12.30%,18.38%,--,--,11.89%,20.39%,--,--,0,,
112,001167,金鹰科技创新股票,https://jingzhifunds.hexun.com/001167.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001167,"https://jijinba.hexun.com/001167,jijinba.html",1.4990,01-26,-1.06%,11.78%,11.87%,23.37%,96.98%,192.20%,-4.46%,49.90%,4折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=001167&knownChannel=hexun_jjjz_goumai,
113,008442,九泰优享混合C,https://jingzhifunds.hexun.com/008442.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008442,"https://jijinba.hexun.com/008442,jijinba.html",1.3379,12-03,13.99%,11.58%,10.63%,25.37%,--,--,21.42%,33.79%,--,--,0,,
114,003830,建信鑫悦回报混合,https://jingzhifunds.hexun.com/003830.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003830,"https://jijinba.hexun.com/003830,jijinba.html",1.1686,04-02,13.82%,11.53%,11.80%,15.11%,--,--,11.25%,16.86%,--,--,0,,
115,008441,九泰优享混合A,https://jingzhifunds.hexun.com/008441.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008441,"https://jijinba.hexun.com/008441,jijinba.html",1.3315,12-03,14.01%,11.40%,10.50%,25.32%,--,--,21.35%,33.15%,--,--,0,,
116,004935,国都智能制造混合,https://jingzhifunds.hexun.com/004935.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004935,"https://jijinba.hexun.com/004935,jijinba.html",1.1578,09-29,-1.19%,11.07%,27.02%,54.09%,65.83%,15.78%,34.52%,15.78%,--,--,0,,
117,519918,华夏兴和,https://jingzhifunds.hexun.com/519918.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=519918,"https://jijinba.hexun.com/519918,jijinba.html",4.4110,01-26,-1.10%,10.89%,15.90%,53.05%,163.34%,263.34%,-5.71%,339.80%,--,--,0,,
118,001952,光大保德信尊尚一年A,https://jingzhifunds.hexun.com/001952.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001952,"https://jijinba.hexun.com/001952,jijinba.html",1.1110,03-20,0.00%,10.77%,11.42%,11.42%,11.31%,--,0.09%,13.32%,--,--,0,,
119,161714,招商标普金砖四国,https://jingzhifunds.hexun.com/161714.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161714,"https://jijinba.hexun.com/161714,jijinba.html",1.2020,01-14,6.75%,10.68%,11.09%,4.52%,25.34%,10.58%,4.25%,20.20%,4折,0.64%,2,,
120,004147,上投安泽回报混合C,https://jingzhifunds.hexun.com/004147.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004147,"https://jijinba.hexun.com/004147,jijinba.html",1.1651,10-29,9.82%,10.67%,10.82%,11.01%,--,--,10.24%,16.49%,--,--,0,,
121,161624,融通标普可转债A,https://jingzhifunds.hexun.com/161624.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161624,"https://jijinba.hexun.com/161624,jijinba.html",1.2827,01-26,-2.06%,10.39%,15.21%,30.09%,39.45%,55.80%,-2.89%,37.94%,--,--,0,,
122,161625,融通标普可转债C,https://jingzhifunds.hexun.com/161625.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161625,"https://jijinba.hexun.com/161625,jijinba.html",1.2467,01-26,-2.10%,10.28%,14.98%,29.59%,38.34%,53.93%,-2.92%,34.13%,--,--,0,,
123,004514,鹏华新科技传媒混合,https://jingzhifunds.hexun.com/004514.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004514,"https://jijinba.hexun.com/004514,jijinba.html",1.0010,09-04,1.50%,10.21%,8.24%,15.96%,-1.19%,--,25.90%,0.10%,--,--,0,,
124,160138,南方中企精明指数A,https://jingzhifunds.hexun.com/160138.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160138,"https://jijinba.hexun.com/160138,jijinba.html",1.1355,04-22,1.60%,10.18%,7.96%,6.39%,--,--,13.99%,13.55%,--,--,0,,
125,005558,广发海外多元美元,https://jingzhifunds.hexun.com/005558.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005558,"https://jijinba.hexun.com/005558,jijinba.html",0.1637,09-24,2.38%,10.16%,40.39%,25.54%,7.91%,--,16.68%,-83.63%,--,--,0,,
126,001979,南方沪港深价值主题,https://jingzhifunds.hexun.com/001979.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001979,"https://jijinba.hexun.com/001979,jijinba.html",1.1610,03-04,5.74%,10.15%,7.70%,23.38%,28.00%,20.19%,11.10%,16.10%,--,--,0,,
127,004229,鹏华新能源产业,https://jingzhifunds.hexun.com/004229.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004229,"https://jijinba.hexun.com/004229,jijinba.html",1.1585,09-13,10.78%,10.14%,--,--,--,--,--,15.86%,--,--,0,,
128,164206,天弘添利债券,https://jingzhifunds.hexun.com/164206.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=164206,"https://jijinba.hexun.com/164206,jijinba.html",1.5740,01-27,-2.74%,10.14%,23.11%,42.78%,43.91%,58.13%,-3.96%,181.43%,--,--,0,,
129,519053,海富通双利分级B,https://jingzhifunds.hexun.com/519053.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=519053,"https://jijinba.hexun.com/519053,jijinba.html",1.2460,12-07,9.40%,10.11%,12.11%,36.29%,57.44%,--,23.86%,57.28%,--,--,0,,
130,160139,南方中企精明指数C,https://jingzhifunds.hexun.com/160139.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160139,"https://jijinba.hexun.com/160139,jijinba.html",1.1267,04-22,1.58%,10.07%,7.75%,5.96%,--,--,13.85%,12.67%,--,--,0,,
131,512230,景顺中证医药,https://jingzhifunds.hexun.com/512230.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=512230,"https://jijinba.hexun.com/512230,jijinba.html",1.4305,05-11,0.49%,10.03%,-2.63%,11.80%,21.90%,-12.52%,-0.28%,43.77%,--,--,0,,
132,000991,工银瑞信战略转型,https://jingzhifunds.hexun.com/000991.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=000991,"https://jijinba.hexun.com/000991,jijinba.html",3.9210,01-27,0.98%,10.02%,13.19%,23.34%,150.70%,278.11%,0.08%,292.10%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=000991&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=000991&knownChannel=hexun_jjjz_dinggou
133,164818,工银瑞信中证传媒指数,https://jingzhifunds.hexun.com/164818.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=164818,"https://jijinba.hexun.com/164818,jijinba.html",0.8935,01-26,-8.78%,9.93%,7.95%,-8.45%,-11.32%,14.73%,-11.42%,-74.07%,--,--,0,,
134,002374,大成景鹏混合C,https://jingzhifunds.hexun.com/002374.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002374,"https://jijinba.hexun.com/002374,jijinba.html",1.2890,09-06,0.86%,9.89%,4.20%,10.45%,20.58%,--,5.57%,23.23%,--,--,0,,
135,003774,国联安鑫利混合A,https://jingzhifunds.hexun.com/003774.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003774,"https://jijinba.hexun.com/003774,jijinba.html",1.0891,09-08,0.14%,9.87%,9.34%,--,--,--,8.78%,8.89%,--,--,0,,
136,001564,东方红京东大数据混合,https://jingzhifunds.hexun.com/001564.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001564,"https://jijinba.hexun.com/001564,jijinba.html",2.4810,01-27,-4.47%,9.83%,12.42%,13.96%,69.35%,106.92%,-5.23%,148.10%,--,--,0,,
137,162102,金鹰中小盘精选,https://jingzhifunds.hexun.com/162102.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=162102,"https://jijinba.hexun.com/162102,jijinba.html",1.3939,01-26,-1.36%,9.78%,10.61%,36.11%,49.25%,134.76%,-4.32%,829.84%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=162102&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=162102&knownChannel=hexun_jjjz_dinggou
138,210009,金鹰核心资源混合,https://jingzhifunds.hexun.com/210009.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=210009,"https://jijinba.hexun.com/210009,jijinba.html",1.6440,01-26,-2.08%,9.75%,10.93%,41.12%,47.44%,117.17%,-5.19%,79.97%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=210009&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=210009&knownChannel=hexun_jjjz_dinggou
139,005603,嘉实新添康定开混合A,https://jingzhifunds.hexun.com/005603.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005603,"https://jijinba.hexun.com/005603,jijinba.html",1.5379,01-05,-0.86%,9.68%,22.04%,38.93%,52.25%,--,-0.01%,53.79%,--,--,0,,
140,002191,农银汇理物联网,https://jingzhifunds.hexun.com/002191.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002191,"https://jijinba.hexun.com/002191,jijinba.html",1.7127,07-23,7.01%,9.62%,-10.73%,-6.20%,62.39%,61.67%,-3.36%,71.27%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=002191&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=002191&knownChannel=hexun_jjjz_dinggou
141,003775,国联安鑫利混合C,https://jingzhifunds.hexun.com/003775.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003775,"https://jijinba.hexun.com/003775,jijinba.html",1.0855,09-08,0.21%,9.57%,8.99%,--,--,--,8.42%,8.54%,--,--,0,,
142,166020,中欧成长优选回报A,https://jingzhifunds.hexun.com/166020.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=166020,"https://jijinba.hexun.com/166020,jijinba.html",1.8423,01-26,1.31%,9.55%,13.25%,27.43%,55.29%,95.53%,-2.39%,148.64%,5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=166020&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=166020&knownChannel=hexun_jjjz_dinggou
143,001575,兴银稳健债券,https://jingzhifunds.hexun.com/001575.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001575,"https://jijinba.hexun.com/001575,jijinba.html",1.0000,12-30,0.00%,9.54%,9.49%,-1.51%,0.31%,3.55%,-1.53%,11.47%,--,--,0,,
144,005604,嘉实新添康定开混合C,https://jingzhifunds.hexun.com/005604.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005604,"https://jijinba.hexun.com/005604,jijinba.html",1.5167,01-05,-0.92%,9.50%,21.67%,38.08%,50.41%,--,-0.01%,51.67%,--,--,0,,
145,002236,大成互联网+指数A,https://jingzhifunds.hexun.com/002236.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002236,"https://jijinba.hexun.com/002236,jijinba.html",1.6890,01-26,0.48%,9.46%,14.12%,37.76%,50.54%,106.23%,-3.60%,68.90%,5折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=002236&knownChannel=hexun_jjjz_goumai,
146,512980,广发中证传媒交易指数,https://jingzhifunds.hexun.com/512980.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=512980,"https://jijinba.hexun.com/512980,jijinba.html",0.7509,01-26,-9.78%,9.38%,5.82%,-12.99%,-14.49%,11.00%,-12.47%,-24.91%,--,--,0,,
147,006685,农银汇理永安混合,https://jingzhifunds.hexun.com/006685.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006685,"https://jijinba.hexun.com/006685,jijinba.html",1.2737,07-30,4.75%,9.32%,13.77%,22.65%,--,--,17.38%,27.37%,--,--,0,,
148,161819,银华中证内地资源,https://jingzhifunds.hexun.com/161819.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161819,"https://jijinba.hexun.com/161819,jijinba.html",0.8580,09-29,-4.03%,9.30%,11.72%,1.84%,-8.95%,-30.77%,-4.59%,-42.72%,--,--,0,,
149,003359,大成互联网+指数C,https://jingzhifunds.hexun.com/003359.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003359,"https://jijinba.hexun.com/003359,jijinba.html",1.6410,01-26,0.43%,9.25%,13.80%,36.98%,48.77%,102.59%,-3.64%,46.39%,--,--,0,,
150,002342,融通增益债券A,https://jingzhifunds.hexun.com/002342.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002342,"https://jijinba.hexun.com/002342,jijinba.html",1.2150,01-26,0.66%,9.16%,9.46%,12.40%,9.46%,13.45%,0.41%,33.07%,--,--,0,,
151,004273,中融量化小盘股票C,https://jingzhifunds.hexun.com/004273.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004273,"https://jijinba.hexun.com/004273,jijinba.html",0.9913,05-15,6.90%,9.13%,18.52%,13.98%,0.95%,--,7.97%,-0.88%,--,--,0,,
152,004272,中融量化小盘股票A,https://jingzhifunds.hexun.com/004272.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004272,"https://jijinba.hexun.com/004272,jijinba.html",1.0018,05-15,6.94%,9.13%,18.60%,14.13%,1.32%,--,8.01%,0.17%,--,--,0,,
153,004752,广发中证传媒联接A,https://jingzhifunds.hexun.com/004752.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004752,"https://jijinba.hexun.com/004752,jijinba.html",0.7527,01-26,-9.14%,9.12%,5.58%,-11.83%,-13.76%,11.15%,-11.71%,-24.73%,--,--,0,,
154,960029,建信双息红利H,https://jingzhifunds.hexun.com/960029.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=960029,"https://jijinba.hexun.com/960029,jijinba.html",1.1880,01-26,-1.26%,9.07%,10.35%,5.96%,11.94%,20.55%,-2.75%,21.38%,--,--,0,,
155,004753,广发中证传媒联接C,https://jingzhifunds.hexun.com/004753.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=004753,"https://jijinba.hexun.com/004753,jijinba.html",0.7521,01-26,-9.14%,9.06%,5.50%,-11.99%,-14.10%,10.98%,-11.71%,-24.79%,--,--,0,,
156,530017,建信双息红利A,https://jingzhifunds.hexun.com/530017.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=530017,"https://jijinba.hexun.com/530017,jijinba.html",1.1870,01-26,-1.34%,8.98%,10.26%,5.88%,11.92%,20.53%,-2.83%,110.71%,7.5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=530017&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=530017&knownChannel=hexun_jjjz_dinggou
157,000480,东方红新动力,https://jingzhifunds.hexun.com/000480.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=000480,"https://jijinba.hexun.com/000480,jijinba.html",3.9780,01-27,-3.91%,8.93%,12.37%,10.96%,57.98%,90.88%,-4.56%,323.46%,--,--,0,,
158,001891,中欧成长优选回报E,https://jingzhifunds.hexun.com/001891.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001891,"https://jijinba.hexun.com/001891,jijinba.html",1.8824,01-27,-2.00%,8.92%,12.93%,24.27%,52.33%,92.27%,-4.24%,108.01%,--,--,0,,
159,002344,融通增益债券C,https://jingzhifunds.hexun.com/002344.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002344,"https://jijinba.hexun.com/002344,jijinba.html",1.2600,01-26,0.56%,8.90%,9.19%,12.10%,13.72%,--,0.32%,17.76%,--,--,0,,
160,531017,建信双息红利C,https://jingzhifunds.hexun.com/531017.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=531017,"https://jijinba.hexun.com/531017,jijinba.html",1.1430,01-26,-1.39%,8.89%,10.12%,5.57%,11.13%,19.30%,-2.86%,67.43%,--,--,0,,
161,006358,前海联合泳盛纯债A,https://jingzhifunds.hexun.com/006358.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=006358,"https://jijinba.hexun.com/006358,jijinba.html",1.1030,12-17,8.58%,8.88%,9.65%,10.86%,14.69%,--,10.56%,20.71%,--,--,0,,
162,160629,鹏华中证传媒指数,https://jingzhifunds.hexun.com/160629.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160629,"https://jijinba.hexun.com/160629,jijinba.html",0.9350,01-26,-9.49%,8.85%,6.01%,-10.95%,-9.44%,17.29%,-11.96%,-32.76%,5折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160629&knownChannel=hexun_jjjz_goumai,
163,002821,招商丰乐混合A,https://jingzhifunds.hexun.com/002821.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002821,"https://jijinba.hexun.com/002821,jijinba.html",1.2580,04-11,-0.08%,8.82%,19.92%,25.80%,--,--,18.79%,25.80%,--,--,0,,
164,160417,华安沪深300,https://jingzhifunds.hexun.com/160417.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160417,"https://jijinba.hexun.com/160417,jijinba.html",1.4125,06-16,1.99%,8.82%,-0.22%,11.50%,11.51%,22.69%,-2.85%,69.18%,--,--,0,,
165,002822,招商丰乐混合C,https://jingzhifunds.hexun.com/002822.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002822,"https://jijinba.hexun.com/002822,jijinba.html",1.2990,04-11,-0.15%,8.70%,24.19%,30.16%,--,--,18.63%,29.90%,--,--,0,,
166,000536,前海开源可转债,https://jingzhifunds.hexun.com/000536.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=000536,"https://jijinba.hexun.com/000536,jijinba.html",1.5110,01-26,-2.58%,8.70%,18.70%,33.83%,75.90%,94.97%,-4.18%,115.73%,7.5折,0.60%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=000536&knownChannel=hexun_jjjz_goumai,
